idpark,naziv,povrsina,utemeljen,sluzbenastranica,email,nazivlokacija,nazivdrzava,tel,nazivvrsta,nazivprodajnogmjesta,nazivznamenitosti,opisznamenitosti
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Danuvius marina d.o.o., Jurjevgradska 2, Tribunj",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Danuvius marina d.o.o., Jurjevgradska 2, Tribunj",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Marina Kornati, Šetalište kneza Branimira 1, Biograd n/m",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Marina Kornati, Šetalište kneza Branimira 1, Biograd n/m",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Marina Kornati, Šetalište kneza Branimira 1, Biograd n/m",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Euronautic d.o.o., Marina Kornati, Biograd n/m",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Euronautic d.o.o., Marina Kornati, Biograd n/m",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Euronautic d.o.o., Marina Kornati, Biograd n/m",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Bimex Adria, Marina Dalmacija, Sukošan",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Bimex Adria, Marina Dalmacija, Sukošan",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Bimex Adria, Marina Dalmacija, Sukošan",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Albatros Yachting, I. Meštrovića 2, Marina Zadar",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Albatros Yachting, I. Meštrovića 2, Marina Zadar",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Albatros Yachting, I. Meštrovića 2, Marina Zadar",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Prosper Yachting d.o.o., Marina Tankerkomerc Zadar, Ivana Gundulića 1/B, Zadar",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Prosper Yachting d.o.o., Marina Tankerkomerc Zadar, Ivana Gundulića 1/B, Zadar",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Adamo Travel, Sali 112, Sali, Dugi otok",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Adamo Travel, Sali 112, Sali, Dugi otok",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Adamo Travel, Sali 112, Sali, Dugi otok",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Žut, otok Žut",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Žut, otok Žut",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Žut, otok Žut",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Jezera, Obala sv. Ivana 47 E, Jezera",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Jezera, Obala sv. Ivana 47 E, Jezera",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Jezera, Obala sv. Ivana 47 E, Jezera",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Vodice, Artina 13 A, Vodice",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Vodice, Artina 13 A, Vodice",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Vodice, Artina 13 A, Vodice",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Skradin, Obala bana Pavla Šubića 18, Skradin",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Skradin, Obala bana Pavla Šubića 18, Skradin",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"ACI marina Skradin, Obala bana Pavla Šubića 18, Skradin",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"T. A. Bisage, Put Zaratića 3, Jezera",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"T. A. Bisage, Put Zaratića 3, Jezera",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"T. A. Bisage, Put Zaratića 3, Jezera",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Makirina turist d.o.o., Trg Domovinskog rata 1, Pirovac",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Makirina turist d.o.o., Trg Domovinskog rata 1, Pirovac",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Makirina turist d.o.o., Trg Domovinskog rata 1, Pirovac",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Nautika Veli Rat, Šetalište Ivana Klarina 1, Veli Rat, Dugi Otok",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Nautika Veli Rat, Šetalište Ivana Klarina 1, Veli Rat, Dugi Otok",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Nautika Veli Rat, Šetalište Ivana Klarina 1, Veli Rat, Dugi Otok",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Nautički centa Trogir, Marina Baotić, Don Petra Špike 2A, Seget Donji",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Nautički centa Trogir, Marina Baotić, Don Petra Špike 2A, Seget Donji",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Nautički centa Trogir, Marina Baotić, Don Petra Špike 2A, Seget Donji",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Prosper Yachting d.o.o., Marina Tankerkomerc Zadar, Ivana Gundulića 1/B, Zadar",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
